Kreis,count,mean_zust,median_zust,mean_age
RHEIN-PFALZ-KREIS,111,2.27027027027027,2.3,53.16216216216216
ILM-KREIS,111,1.827927927927928,1.9,23.504504504504503
Landkreis Erlangen-Höchstadt,110,2.220909090909091,2.2,38.345454545454544
RHEIN-LAHN-KREIS,109,2.220183486238532,2.2,60.74311926605505
Landkreis Aichach-Friedberg,109,1.8110091743119268,1.8,25.69724770642202
LANDKREIS NORDHAUSEN,109,1.971559633027523,2.0,24.63302752293578
Landkreis Lindau (Bodensee),108,2.0675925925925926,2.1500000000000004,48.53703703703704
Kreisfreie Stadt Wiesbaden,107,2.3317757009345796,2.3,46.32710280373832
Main-Tauber-Kreis,107,2.3626168224299064,2.3,48.03738317757009
Lüneburg,107,2.1672897196261682,2.2,35.532710280373834
Ennepe-Ruhr-Kreis,106,2.458490566037736,2.4,50.54716981132076
Landkreis Wunsiedel i.Fichtelgebirge,105,2.2447619047619045,2.3,31.761904761904763
Landkreis Main-Spessart,105,2.335238095238095,2.3,38.63809523809524
Landkreis Neustadt a.d. Aisch - Bad Windsheim,105,1.9704761904761905,2.0,34.647619047619045
Hagen,104,2.2903846153846152,2.3,40.80769230769231
ALZEY-WORMS,103,2.1990291262135924,2.2,47.922330097087375
KUSEL,102,2.156862745098039,2.2,56.029411764705884
Mannheim,102,2.25,2.25,47.049019607843135
"Dresden, kreisfreie Stadt",102,2.127450980392157,2.2,25.862745098039216
KFR. STADT KOBLENZ,101,2.375247524752475,2.4,45.46534653465346
Landkreis Bad Kissingen,101,2.3168316831683167,2.4,41.76237623762376
Münster,101,2.1445544554455447,2.2,41.42574257425743
Landkreis Oberhavel,100,2.001,2.0,22.9
Oberhausen,100,2.279,2.3,49.08
Tuttlingen,100,2.388,2.4,47.09
Gelsenkirchen,100,2.4090000000000003,2.4,55.14
SÜDLICHE WEINSTRASSE,98,1.9275510204081634,2.0,40.244897959183675
LANDKREIS GOTHA,98,2.039795918367347,2.0,30.163265306122447
Landkreis Rhön-Grabfeld,98,2.0255102040816326,2.2,30.959183673469386
Kreis Plön,98,2.092857142857143,2.2,37.87755102040816
Landkreis Eichstätt,98,2.283673469387755,2.3,46.57142857142857
LANDKR.SCHMALKALDEN-MEININGEN,98,2.0602040816326532,2.0,41.48979591836735
Landkreis Merzig-Wadern,97,2.2144329896907213,2.3,37.76288659793814
